City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,281.08,88,100,2.24,US,1701640819
1,carnarvon,-24.8667,113.6333,296.44,79,0,9.59,AU,1701641116
2,utrik,11.2278,169.8474,300.42,76,100,8.18,MH,1701641119
3,grytviken,-54.2811,-36.5092,274.18,77,72,4.28,GS,1701641071
4,nagqu,31.5,92.0,259.06,45,8,1.41,CN,1701641456
5,santyoku,37.4406,129.1708,276.32,42,0,3.24,KR,1701641456
6,broome,42.2506,-75.833,281.42,88,100,4.63,US,1701641457
7,saint-pierre,-21.3393,55.4781,294.58,73,8,3.6,RE,1701641163
8,waitangi,-43.9535,-176.5597,285.83,97,100,1.79,NZ,1701641071
9,chasong,41.4608,126.6414,266.93,88,93,1.68,KP,1701641457
10,keflavik,64.0049,-22.5624,274.39,80,75,7.72,IS,1701641077
11,weno,7.4515,151.8468,301.12,94,100,3.6,FM,1701641155
12,atafu village,-8.5421,-172.5159,302.24,76,100,6.55,TK,1701641082
13,vorgashor,67.5833,63.95,246.09,98,89,1.51,RU,1701641096
14,ferkessedougou,9.6,-5.2,299.97,22,16,0.88,CI,1701641458
15,ibshaway,29.358,30.6814,292.51,62,100,2.7,EG,1701641458
16,puerto natales,-51.7236,-72.4875,281.24,78,100,5.19,CL,1701640964
17,georgetown,5.4112,100.3354,299.83,92,20,3.09,MY,1701640941
18,greymouth,-42.4667,171.2,289.37,69,87,2.18,NZ,1701641305
19,lebu,-37.6167,-73.65,285.39,74,0,14.78,CL,1701641102
20,uturoa,-16.7333,-151.4333,300.54,77,99,9.16,PF,1701641107
21,zeya,53.75,127.2667,256.75,93,72,1.93,RU,1701641130
22,jamestown,42.097,-79.2353,281.49,91,100,5.81,US,1701640832
23,port-aux-francais,-49.35,70.2167,277.97,79,92,14.09,TF,1701641068
24,hermanus,-34.4187,19.2345,290.02,78,46,2.37,ZA,1701641069
25,calvinia,-31.4707,19.776,288.56,53,48,2.1,ZA,1701641459
26,blackmans bay,-43.0167,147.3167,290.22,75,100,0.45,AU,1701641074
27,mount isa,-20.7333,139.5,300.02,65,9,2.57,AU,1701641460
28,yokadouma,3.5167,15.05,294.01,96,68,0.95,CM,1701641460
29,thunder bay,48.4001,-89.3168,274.14,55,75,4.63,CA,1701641091
30,adamstown,-25.066,-130.1015,295.9,81,45,5.58,PN,1701641073
31,ribeira grande,38.5167,-28.7,286.91,67,40,4.12,PT,1701641070
