City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.37,85,100,5.47,PN,1701663992
1,vilyuchinsk,52.9306,158.4028,-3.85,72,29,3.55,RU,1701663993
2,margaret river,-33.95,115.0667,19.57,61,100,4.82,AU,1701663993
3,talnakh,69.4865,88.3972,-34.25,85,12,0.81,RU,1701663993
4,tiaret,35.371,1.317,6.69,33,0,9.77,DZ,1701663993
5,sabang,5.8933,95.3214,27.31,76,99,1.66,ID,1701663993
6,kiunga,-6.1219,141.2906,25.01,95,96,1.26,PG,1701663993
7,touros,-5.1989,-35.4608,26.13,81,100,4.92,BR,1701663994
8,wuwei,37.9281,102.6414,8.34,17,0,1.21,CN,1701663994
9,grytviken,-54.2811,-36.5092,1.01,73,5,2.86,GS,1701663994
10,bredasdorp,-34.5322,20.0403,16.51,70,39,2.72,ZA,1701663994
11,port lincoln,-34.7333,135.8667,23.59,54,9,7.05,AU,1701663994
12,pyt-yakh,60.7499,72.8582,-29.08,93,6,2.6,RU,1701663994
13,haiku-pauwela,20.9219,-156.3051,25.02,79,40,4.12,US,1701663994
14,qarazhal,48.0078,70.7903,-3.34,74,91,2.17,KZ,1701663995
15,rongelap,11.1635,166.8941,27.85,70,84,7.34,MH,1701663995
16,longyearbyen,78.2186,15.6401,-8.09,73,75,5.66,SJ,1701663995
17,papatowai,-46.5619,169.4708,12.08,54,19,6.01,NZ,1701663995
18,blackmans bay,-43.0167,147.3167,22.07,51,100,3.31,AU,1701663995
19,isafjordur,66.0755,-23.124,0.89,85,100,3.96,IS,1701663996
20,cockburn town,21.4612,-71.1419,26.31,69,9,6.66,TC,1701663996
21,utrik,11.2278,169.8474,27.31,73,99,8.96,MH,1701663996
22,cienaga de oro,8.8744,-75.6203,26.86,94,11,2.37,CO,1701663917
23,pisco,-13.7,-76.2167,19.45,82,0,4.63,PE,1701663996
24,port-aux-francais,-49.35,70.2167,3.92,72,8,14.96,TF,1701663996
25,crane,31.3974,-102.3501,12.4,32,0,4.39,US,1701663997
26,uturoa,-16.7333,-151.4333,27.36,80,60,9.82,PF,1701663997
27,barra de santo antonio,-9.4047,-35.5072,25.6,90,11,4.81,BR,1701663997
28,hanceville,34.0607,-86.7675,12.89,74,100,0.8,US,1701663997
29,ribeira grande,38.5167,-28.7,13.76,72,26,1.79,PT,1701663997
30,vorgashor,67.5833,63.95,-27.73,95,92,2.05,RU,1701663997
31,savanna-la-mar,18.219,-78.1332,26.97,87,18,1.22,JM,1701663998
32,ilulissat,69.2167,-51.1,-5.99,73,75,2.57,GL,1701663998
33,priozersk,61.0393,30.1291,-4.39,92,100,2.37,RU,1701663998
34,myski,53.709,87.8014,-5.81,87,100,7.85,RU,1701663998
35,karratha,-20.7377,116.8463,29.49,60,9,6.38,AU,1701663998
36,weno,7.4515,151.8468,30.97,70,100,4.63,FM,1701663998
37,dalandzadgad,43.5708,104.425,0.77,46,9,2.76,MN,1701663998
38,ubinskoye,55.3068,79.6802,-18.38,87,71,6.27,RU,1701663999
39,waitangi,-43.9535,-176.5597,14.34,74,100,0.89,NZ,1701663999
40,jiexiu,37.0244,111.9125,9.34,20,20,4.01,CN,1701663999
41,dapa,9.7594,126.0531,27.41,82,100,5.1,PH,1701663999
42,kingston,17.997,-76.7936,26.53,88,20,3.09,JM,1701663586
43,tucuma,-0.1833,-50.05,26.03,83,77,2.83,BR,1701663999
44,avarua,-21.2078,-159.775,26.03,65,85,3.6,CK,1701663999
45,tiksi,71.6872,128.8694,-29.57,99,100,3.35,RU,1701664000
46,invercargill,-46.4,168.35,12.31,50,11,4.2,NZ,1701664000
47,tobarra,38.5921,-1.6919,2.32,61,81,0.88,ES,1701664000
48,kaa-khem,51.6833,94.7333,-9.77,91,95,2.56,RU,1701664000
49,qaqortoq,60.7167,-46.0333,-3.68,73,100,4.26,GL,1701664000
50,saipan,15.1355,145.701,29.39,70,0,7.2,MP,1701664000
51,edinburgh of the seven seas,-37.0676,-12.3116,14.59,85,2,5.22,SH,1701664000
52,keene,42.9337,-72.2781,3.1,97,100,1.54,US,1701664001
53,thompson,55.7435,-97.8558,-5.91,93,100,1.54,CA,1701664001
54,port mathurin,-19.6833,63.4167,25.8,80,27,7.86,MU,1701664001
55,new norfolk,-42.7826,147.0587,22.73,27,100,1.24,AU,1701664001
56,badger,64.8,-147.5333,-19.24,74,40,0.0,US,1701664001
57,afaahiti,-17.75,-149.2833,28.93,83,100,10.95,PF,1701664001
58,tazovsky,67.4667,78.7,-30.25,93,21,4.41,RU,1701664001
59,ndele,8.4109,20.6473,22.67,63,33,1.61,CF,1701664001
60,aasiaat,68.7098,-52.8699,-10.31,82,100,1.67,GL,1701664002
61,boise,43.6135,-116.2035,6.3,92,100,4.12,US,1701663887
62,poronaysk,49.2167,143.1167,2.42,71,100,6.48,RU,1701664002
63,kerikeri,-35.2268,173.9474,23.28,91,100,1.94,NZ,1701664002
64,champerico,14.3,-91.9167,26.95,76,9,0.98,GT,1701664002
65,puerto natales,-51.7236,-72.4875,6.03,88,83,3.51,CL,1701664002
66,farasan,16.7022,42.1183,28.21,65,0,9.2,SA,1701664002
67,antofagasta,-23.65,-70.4,17.6,74,38,2.09,CL,1701663963
68,morehead city,34.7229,-76.726,19.01,88,0,3.09,US,1701664003
69,nemuro,43.3236,145.575,4.49,65,51,3.77,JP,1701664003
70,tromso,69.6496,18.957,-1.99,80,75,5.66,NO,1701664003
71,anadyr,64.75,177.4833,-19.72,76,20,5.0,RU,1701664003
72,newman,37.3138,-121.0208,12.81,81,100,0.45,US,1701664003
73,lebu,-37.6167,-73.65,11.19,81,0,9.45,CL,1701664003
74,new plymouth,-39.0667,174.0833,16.29,90,75,2.3,NZ,1701664003
75,pamandzi,-12.7967,45.2794,27.88,83,75,3.09,YT,1701664004
76,whitehorse,60.7161,-135.0538,-12.21,92,75,2.06,CA,1701664004
77,punta arenas,-53.15,-70.9167,8.06,81,40,10.29,CL,1701663759
78,sastobe,42.55,70.0,7.94,52,86,1.67,KZ,1701664004
79,luderitz,-26.6481,15.1594,15.49,74,0,8.48,NA,1701664004
80,knyaze-volkonskoye,48.4642,135.4567,-4.81,80,93,4.02,RU,1701664004
81,puerto baquerizo moreno,-0.9,-89.6,23.56,82,87,4.13,EC,1701664004
82,saldanha,-33.0117,17.9442,12.03,81,3,3.63,ZA,1701664004
83,ojinaga,29.5667,-104.4167,10.53,43,0,0.0,MX,1701664005
84,arraial do cabo,-22.9661,-42.0278,23.82,93,100,8.91,BR,1701664005
85,fortuna,40.5982,-124.1573,14.81,92,100,6.69,US,1701664005
86,cidade velha,14.9167,-23.6167,24.26,78,20,7.2,CV,1701664005
87,malango,-2.9627,119.9001,27.16,73,64,1.03,ID,1701664005
88,palmas,-10.2128,-48.3603,23.93,88,75,2.57,BR,1701663750
89,pedro ii,-4.4247,-41.4586,21.56,85,100,1.7,BR,1701664005
90,san felice circeo,41.2372,13.0942,9.21,66,30,1.85,IT,1701664005
91,christchurch,-43.5333,172.6333,13.56,82,75,0.51,NZ,1701664006
92,kapuskasing,49.4169,-82.4331,-10.95,85,0,3.09,CA,1701664006
93,udachny,66.4167,112.4,-37.53,73,88,1.58,RU,1701664006
94,iqaluit,63.7506,-68.5145,-13.15,72,100,5.14,CA,1701664006
95,puerto ayora,-0.7393,-90.3518,24.19,93,82,1.79,EC,1701664006
96,romanovka,51.7443,42.7527,-3.21,85,100,6.85,RU,1701664006
97,ar rumaythah,31.5263,45.2025,15.34,45,0,3.28,IQ,1701664006
98,albany,42.6001,-73.9662,5.36,93,100,1.34,US,1701664007
99,sen monorom,12.45,107.2,28.2,51,100,3.59,KH,1701664007
100,la passe,45.5549,-0.8967,6.13,82,97,10.47,FR,1701664007
101,opuwo,-18.0607,13.84,20.07,79,100,1.48,NA,1701664007
102,baker city,44.7749,-117.8344,7.58,99,100,0.0,US,1701664007
103,kochubey,44.3861,46.5825,8.24,91,87,1.47,RU,1701664007
104,hermanus,-34.4187,19.2345,16.98,73,77,2.69,ZA,1701664007
105,tokuyama,34.05,131.8167,12.79,58,3,1.69,JP,1701664008
106,calama,-22.4667,-68.9333,10.27,20,0,4.63,CL,1701664008
107,visby,57.6409,18.296,-1.88,74,100,5.66,SE,1701664008
108,tezu,27.9167,96.1667,26.12,28,2,1.14,IN,1701664008
